date,rate_bank_transfer,rate_cash_pickup
"2025-03-19 23:20:45.508218","371.006548","362.68799999881"
"2025-03-20 05:01:10.684308","371.006548","362.68799999881"
"2025-03-20 08:01:15.077230","371.006548","362.68799999881"
"2025-03-20 11:01:10.209418","370.23457","361.88851099065"
"2025-03-20 12:40:36.653783","362.95723274952","361.95619411827"
"2025-03-20 13:00:42.406009","362.95723274952","361.95619411827"
"2025-03-20 14:01:09.842345","370.23457","361.95619411827"
"2025-03-20 15:12:03.900109","362.95723274952","361.95619411827"
"2025-03-20 17:01:13.553961","370.23457","361.95619411827"
"2025-03-21 05:01:11.483086","370.23457","361.95619411827"
"2025-03-21 08:01:10.904834","370.23457","361.95619411827"
"2025-03-21 11:01:10.731463","369.834286","361.49815314261"
"2025-03-21 14:01:11.676506","369.939577","361.61066435961"
"2025-03-21 17:01:14.911319","369.939577","361.61066435961"
"2025-03-22 05:01:11.234751","369.939577","361.61066435961"
"2025-03-22 08:01:13.027994","369.939577","361.61066435961"
"2025-03-22 11:01:12.091523","369.939577","361.61066435961"
"2025-03-22 14:01:10.499706","369.939577","361.61066435961"
"2025-03-22 17:01:11.056962","369.939577","361.61066435961"
"2025-03-23 05:01:14.927601","369.939577","361.61066435961"
"2025-03-23 08:01:11.480049","369.939577","361.61066435961"
"2025-03-23 11:01:14.325916","369.939577","361.61066435961"
"2025-03-23 14:01:14.493720","369.939577","361.61066435961"
"2025-03-23 17:01:10.199533","369.939577","361.61066435961"
"2025-03-24 05:01:10.224682","369.939577","361.61066435961"
"2025-03-24 08:01:10.450111","369.939577","361.61066435961"
"2025-03-24 11:01:10.975850","370.768973","362.819329243"
"2025-03-24 14:01:12.584721","370.86131","363.07120167803"
"2025-03-24 17:01:16.722018","370.86131","363.07120167803"
"2025-03-25 05:01:10.098530","370.86131","363.07120167803"
"2025-03-25 08:01:10.263926","370.86131","363.07120167803"
"2025-03-25 11:01:10.426803","369.717029","361.79668539"
"2025-03-25 14:01:12.285687","369.78278","362.01808817799"
"2025-03-25 17:01:10.152948","369.78278","362.01808817799"
"2025-03-26 05:01:10.950114","369.78278","362.01808817799"
"2025-03-26 08:01:11.062621","369.78278","362.01808817799"
"2025-03-26 11:01:13.982045","369.296374","361.46840704384"
"2025-03-26 14:01:09.137315","369.099381","361.4684070423"
"2025-03-26 17:01:10.329011","369.099381","361.4684070423"
"2025-03-27 05:01:09.830083","369.099381","361.4684070423"
"2025-03-27 08:01:11.121737","369.099381","361.4684070423"
"2025-03-27 11:01:10.421975","369.385349","361.6007261825"
"2025-03-27 14:01:09.810469","369.293348","361.60072618452"
"2025-03-27 17:01:10.620562","369.293348","361.60072618452"
"2025-03-28 05:01:14.848480","369.293348","361.60072618452"
"2025-03-28 08:01:14.696082","369.293348","361.60072618452"
"2025-03-28 11:01:10.325917","370.265398","362.44515299013"
"2025-03-28 14:01:10.079232","370.239043","362.44515299095"
"2025-03-28 17:01:10.983880","370.239043","362.44515299095"
"2025-03-29 05:01:11.156346","370.239043","362.44515299095"
"2025-03-29 08:01:10.518390","370.239043","362.44515299095"
